rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
18373,PHL,Philippines,MAKBAN,WRI1001888,442.8,14.0881,121.2264,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,,,,,,,,,,,,,,,2340.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18374,PHL,Philippines,MAKBAN-Binary,WRI1001891,15.7,14.1447,121.3152,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,,,,,,,,,,,,,,,82.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18375,PHL,Philippines,MALAYA,WRI1001883,650.0,14.3959,121.3337,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023523,,,,,,,,,,,,,,500.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18376,PHL,Philippines,MANITO-Lowland,WRI1001892,1.5,13.1235,123.8693,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1064221,,,,,,,,,,,,,,7.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18377,PHL,Philippines,MT APO,WRI1001956,109.0,7.0083,125.0894,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1025096,,,,,,,,,,,,,,576.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18378,PHL,Philippines,Macabud,WKS0061758,30.0,14.795,121.145,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,53.56,60.64,67.35,55.79,54.22,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18379,PHL,Philippines,Manaoag,WKS0070660,20.0,16.02,120.43,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,36.86,40.51,45.86,40.3,37.49,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18380,PHL,Philippines,Mariveles Power Plant,WRI1001875,600.0,14.4252,120.537,Coal,,,,2013.0,Sithe GN Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1054104,,,,,,,,,,,,,,3780.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18381,PHL,Philippines,Mariveles Solar,WRI1030471,18.0,14.4503,120.5355,Solar,,,,2017.0,Next Generation Power Technology Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,24.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18382,PHL,Philippines,Masinloc power station,WRI1001871,660.0,15.5645,119.9233,Coal,,,,1998.0,SMC Global Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1023529,,,,,,,,,,,,,,4158.99,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18383,PHL,Philippines,Mindanao Steag power station,WRI1001962,232.0,8.5725,124.7573,Coal,,,,2006.0,STEAG State Power Inc,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1051729,,,,,,,,,,,,,,1461.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18384,PHL,Philippines,Misamis Oriental power station,WRI1029968,405.0,8.5601,124.7465,Coal,,,,2016.0,FDC Misimas Power Corp,GCPT,https://endcoal.org/global-coal-plant-tracker/,WRI,1099105,,,,,,,,,,,,,,2552.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18385,PHL,Philippines,Montesol,WKS0065753,18.0,9.636,123.095,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,33.05,31.71,39.89,38.2,30.01,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18386,PHL,Philippines,Morong Solar,WRI1030485,5.0,14.6912,120.2667,Solar,,,,2017.0,SPARC Solar Powered Agri-Rural Communities Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,6.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18387,PHL,Philippines,NAC DPP,WRI1030490,10.9,9.7189,125.5081,Oil,,,,2017.0,Nickel Asia Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,8.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18388,PHL,Philippines,Naga power complex,WRI1075847,311.0,10.2175,123.7606,Coal,,,,2001.0,SPC Power Corp,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1959.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18389,PHL,Philippines,PACERM-1,WRI1030491,10.5,8.5577,124.508,Oil,,,,2016.0,PACERM-1 Energy Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,8.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18390,PHL,Philippines,PALINPINON GPP,WRI1001941,192.5,9.3031,123.2141,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023554,,,,,,,,,,,,,,1017.29,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18391,PHL,Philippines,PANTABANGAN-MASIWAY,WRI1001901,132.0,15.8107,121.109,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023530,,,,,,,,,,316.87,393.06,273.74,342.11,368.09,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18392,PHL,Philippines,PB 101,WRI1001931,32.0,11.5301,122.3975,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,,,,,,,,,,,,,,,24.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18393,PHL,Philippines,PB 104,WRI1001951,32.0,7.0731,125.6128,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,,,,,,,,,,,,,,,24.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18394,PHL,Philippines,PCPC,WRI1029966,135.0,11.1872,123.121,Coal,,,,2016.0,Palm Concepcion Power Corporation (PCPC),Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,850.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18395,PHL,Philippines,PEDC Coal,WRI1001923,314.0,10.7235,122.5961,Coal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,1978.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18396,PHL,Philippines,PETERSVILLE DPP,WRI1001913,9.0,15.15,120.5833,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1010181,,,,,,,,,,,,,,6.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18397,PHL,Philippines,PULANGI 4,WRI1001961,255.0,7.7156,125.0236,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023564,,,,,,,,,,654.52,787.29,524.47,676.99,835.44,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18398,PHL,Philippines,Pagbilao power station,WRI1001869,1154.0,13.8932,121.745,Coal,,,,2004.0,Team Energy Corp  Therma Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1013255,,,,,,,,,,,,,,7271.94,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18399,PHL,Philippines,Palauig Solar,WRI1023906,5.0,15.4408,119.9856,Solar,,,,2016.0,SPARC Solar Powered Agri-Rural Communities Corp.,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,9.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18400,PHL,Philippines,Petrosolar,WRI1023898,50.1,15.4467,120.618,Solar,,,,2016.0,PetroSolar Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,92.97,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
