id,seasonYear,season,genres,title.english,title.native,title.romaji
39728,2021,spring,"['Fantasy', 'Sci-Fi', 'Slice of Life']",,エデン,[]
4657,2009,spring,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,アラド戦記 ～スラップアップパーティー～,"['Slap Up Party Arad Senki', 'Dungeon & Fighter - The Animation', 'Dungeon & Fighter - Arad Senki']"
8756,1998,summer,"['Mahou Shoujo', 'Mythology', 'Romance', 'Shoujo']",Pretty Soldier Sailor Moon Memorial,美少女戦士セーラームーン メモリアル,[]
2361,1984,fall,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Space']",Saber Rider and the Star Sheriffs,星銃士 ビスマルク,['Sei Juushi Bismark']
34638,2017,winter,['Hentai'],,自宅警備員,[]
1359,2003,fall,"['Erotica', 'Girls Love', 'Hentai']",Body Transfer,肉体転移,[]
50002,0,,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Edens Zero,エデンズ ゼロ,[]
17747,2013,spring,['Hentai'],,不良にハメられて受精する巨乳お母さん THE ANIMATION,[]
30547,2014,spring,['Fantasy'],,東方二次創作同人アニメ 夢想夏郷2.5,"[""Touhou Unofficial Doujin Anime: A Summer Day's Dream Episode 2.5""]"
9311,2010,fall,['Hentai'],,家庭教師のおねえさん2 THE ANIMATION～Hの偏差値あげちゃいます～,[]
44141,2022,fall,"['Comedy', 'Girls Love']",,私に天使が舞い降りた! プレシャス・フレンズ,['Wataten! An Angel Flew Down to Me']
42867,2020,summer,['Comedy'],,"彼女, お借りします ぷち","['Kanojo, Okarishimasu Puchi', 'Rent-a-Girlfriend Chibi', 'Kanojo, Okarishimasu Mini Anime']"
116,1995,fall,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Romance']",El-Hazard: The Wanderers,神秘の世界エルハザード,"['Shinpi no Sekai El-Hazard TV', 'Shinpi no Sekai El-Hazard', 'El-Hazard: The Magnificent World (TV)']"
6008,2009,spring,"['Anthropomorphic', 'Fantasy', 'Shoujo']",Jewelpet,ジュエルペット,['Jewel Pet']
32122,2015,fall,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",,銀魂 〜美味いモノは後回しにすると横取りされるからやっぱり先に食え〜,['Gintama: Jump Festa 2015 Special']
1152,1993,fall,"['Comedy', 'Detective', 'Mecha', 'Sci-Fi', 'Shounen']",,特捜戦車隊ドミニオン,"['Tokusou Sensha-tai Dominion', 'Tokusou Senshatai Dominion']"
19841,2013,fall,"['Comedy', 'Josei', 'Slice of Life']",,Super Seisyun Brothers -超青春姉弟s-,"['SSB', 'Super Seishun Brothers']"
38529,2019,fall,"['CGDCT', 'Comedy', 'School', 'Slice of Life', 'Sports', 'Team Sports']",Chidori RSC,ライフル・イズ・ビューティフル,[]
2438,2005,fall,['Hentai'],The Hills Have Size,人妻♪かすみさん,['Hitozuma Kasumi-san']
31368,2015,summer,['Ecchi'],,グリザイアの楽園,"['The Eden of Grisaia Specials', 'Le Eden de la Grisaia Specials']"
16023,2013,winter,"['Josei', 'Romance']",,黒と金の開かない鍵。,['Kuro to Kin no Hirakanai Kagi.']
2203,1982,fall,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Space']",Endless Orbit SSX,わが青春のアルカディア・無限軌道ＳＳＸ,"['Arcadia of My Youth: Endless Orbit SSX', 'Albator 84', 'Arcadia of My Youth: Infinite Course SSX', 'Harlock 84', 'My Youth in Arcadia: Endless Road SSX']"
34972,2019,spring,"['Romance', 'School']",Twilight,薄暮,[]
49571,2021,fall,"['Action', 'Adventure', 'Sci-Fi']",Swallowed Star,吞噬星空 壮志凌云,[]
1194,2006,summer,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",,コヨーテ ラグタイムショー,[]
2988,2003,summer,"['Action', 'Hentai', 'Horror', 'Supernatural']",,魔法少女アイ,"['Sexy Magical Girl Ai', 'Maho Shojo Ai']"
20909,2014,winter,"['Slice of Life', 'Supernatural']",,境界の彼方 ミニ劇場,"['Kyoukai no Kanata: Mini Theater', 'Kyoukai no Kanata Specials', 'Kyokai no Kanata Specials', 'Beyond the Boundary Specials']"
2227,1987,fall,"['Drama', 'Historical', 'Shoujo']",,レディレディ！！,[]
47795,2021,winter,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Immemorial Love For You 2nd Season,爱在西元前 第二季,[]
33204,2017,winter,"['Adventure', 'Fantasy', 'Mecha', 'Sci-Fi']",Napping Princess,ひるね姫～知らないワタシの物語～,"['Napping Princess: The Story of the Unknown Me', 'Ancien and the Magic Tablet']"
7861,1980,summer,"['Drama', 'Historical', 'Shoujo']",Lady Oscar Special,ベルサイユのばらと女たち,"['Versailles no Bara Special', 'Versailles no Bara episode 41', 'Versailles no Bara to Onna-tachi', 'The Rose and Women of Versailles']"
1468,1989,summer,"['Action', 'Gore', 'Martial Arts', 'Sci-Fi', 'Shounen', 'Super Power']",Baoh the Visitor,バオー来訪者,"['Baoh', 'Baoh Caller']"
